k,topic,orig_x,orig_y,cluster
20,0,-0.0746034507387,-0.0515277045261,0
20,1,0.756742978236,0.0104890169871,7
20,2,-0.0456496952813,-0.033284754366,6
20,3,0.0308977968788,-0.0176864976374,8
20,4,-0.0271663038645,0.0120072604347,2
20,5,-0.0166559836097,0.281589062131,4
20,6,0.0148733508393,0.0173487971995,8
20,7,0.019421039117,0.0139675143149,8
20,8,-0.0433322320188,0.0670303129683,5
20,9,-0.0235364103454,-0.00967006506966,2
20,10,0.0143280464688,0.0394581895587,8
20,11,-0.00257930157708,-0.0288726240251,6
20,12,-0.0455172552183,0.0740156785675,5
20,13,-0.0135071691904,-0.0390351013511,6
20,14,-0.0339527010466,-0.0104838866685,2
20,15,-0.040137837885,-0.023098275939,6
20,16,-0.0197534522268,-0.0234262116537,6
20,17,-0.0102329741244,0.00867022560771,2
20,18,-0.0252571854262,0.0158835980195,2
20,19,-0.0424117566664,-0.0229892302614,6
40,0,-0.0126404770069,0.0082480371285,2
40,1,0.00819905395951,0.0298352331734,8
40,2,0.019065065321,-0.012909628522,8
40,3,-0.0261344136746,0.00735982898255,2
40,4,-0.0044700346678,0.049437828963,5
40,5,0.280201599581,-0.0535132224905,3
40,6,-0.0244618024786,-0.0407142921011,6
40,7,-0.0214254373014,-0.0268246733912,6
40,8,-0.026947513616,0.00866018249751,2
40,9,-0.0505520151447,-0.0260347264108,6
40,10,-0.00743163587704,0.00800942230196,2
40,11,-0.0225838418155,-0.0123562916422,2
40,12,-0.0169890107944,-0.0412654424163,6
40,13,-0.0176666813957,0.0108637389893,2
40,14,0.00517177599813,0.0109386802145,8
40,15,-0.0249364480281,-0.0274106411642,6
40,16,-0.0882203408657,-0.0754354845907,0
40,17,-0.0885594049808,-0.0632505233507,0
40,18,0.0307314600819,-0.0168102754766,8
40,19,-0.0559914344896,-0.0138527442868,6
40,20,0.0283417280228,-0.00535962904335,8
40,21,-0.0309959126627,0.0195443064866,2
40,22,-0.0374092239687,-0.0155315042726,6
40,23,0.0228549036756,0.0231407717138,8
40,24,0.0148234131377,0.0177238470471,8
40,25,-0.0486186020371,-0.0244977045002,6
40,26,-0.0486611086051,0.0935219462222,5
40,27,-0.0542083415309,0.0562007919938,5
40,28,0.0185955234131,0.0216586785491,8
40,29,-0.0294851839192,-0.0361252003193,6
40,30,-0.0618555196118,-0.00722333678944,6
40,31,-0.0539639999207,0.0172455327819,2
40,32,-0.0221204123595,-0.0415977553341,6
40,33,0.181252999667,0.0156922151949,3
40,34,-0.0188551573017,-0.0136150769361,2
40,35,-0.0331605033345,-0.0104261983454,2
40,36,0.867263254865,-0.0113915389434,1
40,37,-0.0083574958648,0.288521445476,4
40,38,-0.0188352183269,-0.0506701381671,6
40,39,-0.0545587380561,0.0752129703427,5
60,0,0.093605149669,-0.0293847586549,8
60,1,-0.00470534519378,0.0175234787195,2
60,2,0.018318471511,0.00850707042742,8
60,3,-0.012261028734,0.00371302478558,2
60,4,-0.0261672070296,-0.0270608684407,6
60,5,-0.0284597083491,-0.00847324356024,2
60,6,-0.0321768301955,0.0185194503247,2
60,7,-0.0630525429592,-0.0765371125563,0
60,8,-0.0561407236522,-0.0126122456006,6
60,9,-0.011270841,-0.0372431138707,6
60,10,-0.0560186421598,0.013627894685,2
60,11,0.107683831115,-0.0506633627686,3
60,12,0.0179802617777,-0.00133910531176,8
60,13,-0.0213670182357,-0.0140439806307,2
60,14,0.0117385181208,-0.035737158176,8
60,15,0.0263732300158,0.0064102321608,8
60,16,-0.0428587169766,-0.0178605324345,6
60,17,0.00943041961806,0.0224744279672,8
60,18,-0.00217028627703,0.324144701348,4
60,19,-0.0660874564797,-0.0746981345837,0
60,20,-0.00301828446838,0.0189503426473,2
60,21,-0.00131602275985,0.0254370929717,8
60,22,-0.0315449660196,-0.037957285875,6
60,23,-0.0354479323685,-0.00724164553656,2
60,24,-0.0125293638642,0.0739105647882,5
60,25,-0.00645362775003,0.049157354533,5
60,26,-0.0103942115131,-0.0212439256007,6
60,27,0.918238633793,-0.0273074558795,1
60,28,-0.0320477082092,-0.00213373130117,2
60,29,0.0167327068207,0.0173343144198,8
60,30,-0.100276071094,-0.0718247381185,0
60,31,-0.0690880565386,0.09437908227,5
60,32,-0.00862769673191,0.0178441312754,2
60,33,-0.0166499796043,0.00366806537423,2
60,34,-0.0544242479002,-0.020570991176,6
60,35,-0.00242202444508,-0.0260457107458,6
60,36,-0.0351605403875,0.0212746304087,2
60,37,-0.0662500999185,0.0645062098292,5
60,38,-0.0711068469095,-0.0141717910831,6
60,39,-0.016129130119,-0.0241402025231,6
60,40,-0.0203118426938,-0.0390736761508,6
60,41,-0.110238651669,-0.0906448773805,0
60,42,-0.0595659030652,-0.0110318561206,6
60,43,-0.0195861710482,-0.0402461881189,6
60,44,0.243102063881,-0.00531329347887,3
60,45,-0.0293155658653,-0.0317413559804,6
60,46,0.382196278829,0.0347923374581,9
60,47,-0.0175690079959,0.00422788278297,2
60,48,-0.0240016430489,-0.0302969674228,6
60,49,-0.0313021515792,-0.0523439127981,6
60,50,0.0332446204732,-0.0226403521223,8
60,51,-0.0349581509376,-0.0450358481107,6
60,52,-0.0279528293603,0.0107035132311,2
60,53,-0.0540206976232,-0.0274804759849,6
60,54,-0.0382215055306,0.043565877012,5
60,55,0.0247876666634,0.0657329899354,8
60,56,0.0162644493443,-0.0263572500113,8
60,57,-0.0616416069527,-0.0335619451815,6
60,58,-0.0447736982419,-0.0328793738931,6
60,59,-0.0497952914538,0.0966454687537,5
80,0,-0.0374069304323,0.0287273367383,2
80,1,0.0180792104317,0.00447474927615,8
80,2,-0.0662650979216,0.115615897767,5
80,3,-0.0311780182917,-0.0305734171445,6
