k,topic,orig_x,orig_y,cluster
20,0,-0.045592226661,0.121293884874,9
20,1,0.0127380182338,-0.017939190795,3
20,2,0.0135394608465,0.0789793299977,2
20,3,-0.00368733786849,0.0521293140228,2
20,4,0.0261152508304,0.0267427166205,3
20,5,-0.0127183960115,0.0235604923726,7
20,6,0.0167008232407,0.0191286593899,3
20,7,-0.0241046346113,-0.0579778916008,0
20,8,0.0209963375129,-0.0337023264997,3
20,9,0.803450546436,0.0104388699101,1
20,10,-0.0249334566632,-0.000735531837364,7
20,11,-0.0197436780264,0.00523784866576,7
20,12,-0.0229878199902,-0.0438451196685,0
20,13,-0.0510673955759,-0.0907339343197,8
20,14,0.019483943767,-0.00156309748306,3
20,15,-0.00641432478039,-0.0428332526294,0
20,16,-0.0281998131864,-0.0385576722859,0
20,17,-0.0400381786953,-0.0470502418327,0
20,18,0.011289138623,0.0580347236718,2
20,19,-0.0194197824049,0.0237096799525,7
40,0,0.0324862221874,-0.0263451506962,3
40,1,-0.0547369159489,0.102135046209,2
40,2,0.876913367158,0.0116679445585,1
40,3,-0.0266140492187,0.0178177730191,7
40,4,-0.0160045369928,-0.0142515140922,0
40,5,-0.0154052353844,-0.0193328032394,0
40,6,-0.00701786692302,0.00251999806961,3
40,7,-0.0210154075175,-0.0302275398981,0
40,8,-0.0587220453923,-0.0422301995227,0
40,9,-0.0191483423059,0.0195333095208,7
40,10,-0.0411539421789,0.0165517328766,7
40,11,-0.0636491400918,0.0923147826063,2
40,12,-0.0230103832785,-0.0144025075615,0
40,13,0.0125553133049,0.0735214470367,2
40,14,-0.0237224816884,-0.0577378457566,0
40,15,-0.0234718163403,-0.0448175429769,0
40,16,-0.055980081865,-0.0390447053373,0
40,17,0.00381639843981,-0.0259063376375,3
40,18,0.14431207533,0.0257252241854,6
40,19,0.0305709485252,0.0495553546947,2
40,20,0.0224340463205,0.0582997020402,2
40,21,0.016160903515,0.108063738578,2
40,22,-0.0316932214221,0.0416630044032,7
40,23,-0.0456537392122,-0.0748758759699,8
40,24,0.0172380344134,-0.0467445560221,3
40,25,-0.0115036349143,-0.00688820950242,0
40,26,0.0316770923439,-0.00178151885297,3
40,27,0.0416497778837,-0.0225045830505,3
40,28,-0.0435156326186,-0.00673505198611,0
40,29,-0.0313266787895,-0.0152046239449,0
40,30,-0.023483205593,-0.0433630292483,0
40,31,-0.0390635079583,-0.104543142034,8
40,32,-0.019181914979,-0.00450101137165,0
40,33,0.0179190154953,0.0155666694173,3
40,34,-0.0114992095223,-0.0591410363396,0
40,35,-0.0241334534355,-0.0123459960438,0
40,36,-0.0317634142604,0.0146591645008,7
40,37,-0.0226905148503,0.0353195315831,7
40,38,0.0177613494219,0.0118004496616,3
40,39,-0.0341022844427,-0.0223302436293,0
60,0,-0.0685561905271,0.170483604663,9
60,1,-0.0456610828013,-0.116998581269,8
60,2,-0.0285123812873,0.00138397009987,7
60,3,0.0182403195485,0.0240202251116,3
60,4,-0.0273976639516,-0.0130307989583,0
60,5,-0.0284087236009,0.0234493091825,7
60,6,0.0361052040595,-0.0343427276763,3
60,7,-0.0510203412597,-0.051102125499,0
